avg_val_loss,attn_type,use_out_proj,identity_weight,feature_map_qkv,feature_map_attn,num_tries,num_steps,avg_time_ns
5.59375,hydra,true,,sqrt_dim,tanh,1,200,62431838008.0
5.59375,hydra,true,,tanh,cos_sim,1,200,61406998636.0
5.59375,hydra,true,,sigmoid,cos_sim,1,200,64975886693.0
5.59375,hydra,true,,identity,cos_sim,1,200,61214615861.0
5.59375,hercules,true,,cos_sim,cos_sim,1,200,64211049522.0
5.59375,hercules,true,,sqrt_dim,cos_sim,1,200,62091956208.0
5.59375,hercules,true,,tanh,cos_sim,1,200,63842990715.0
5.625,hydra,true,,cos_sim,cos_sim,1,200,72549659307.0
5.625,hydra,true,,cos_sim,tanh,1,200,68876939032.0
5.625,hydra,true,,relu,cos_sim,1,200,64786686194.0
5.625,hydra,true,,gelu,cos_sim,1,200,64313503603.0
5.625,hercules,true,,identity,cos_sim,1,200,62961098912.0
5.625,hercules,true,,identity,sigmoid,1,200,70389514860.0
5.65625,hydra,true,,sqrt_dim,cos_sim,1,200,68250570796.0
5.65625,hydra,true,,sqrt_dim,sigmoid,1,200,63437444127.0
5.65625,hercules,true,,tanh,sigmoid,1,200,64308220498.0
5.65625,hercules,true,,gelu,cos_sim,1,200,67297153011.0
5.6875,hydra,true,,cos_sim,sigmoid,1,200,64913649201.0
5.71875,hercules,true,,sigmoid,cos_sim,1,200,65016997607.0
5.71875,hercules,true,,gelu,sigmoid,1,200,62547136356.0
5.71875,zeus,false,0.5,identity,sigmoid,1,200,59742894330.0
5.75,hydra,true,,tanh,tanh,1,200,61316886369.0
5.75,hydra,true,,relu,sigmoid,1,200,62757855365.0
5.75,hydra,true,,gelu,sigmoid,1,200,65271005445.0
5.75,hydra,true,,identity,tanh,1,200,72104958566.0
5.75,hydra,true,,identity,sigmoid,1,200,70710002664.0
5.75,hercules,true,,cos_sim,sigmoid,1,200,65194626628.0
5.75,hercules,true,,sqrt_dim,sigmoid,1,200,66868829749.0
5.75,hercules,true,,sigmoid,sigmoid,1,200,72437390536.0
5.75,hercules,true,,relu,cos_sim,1,200,62882282580.0
5.75,zeus,false,0.5,cos_sim,sigmoid,1,200,62103398804.0
5.75,zeus,false,0.5,tanh,sigmoid,1,200,60492163618.0
5.75,zeus,false,0.5,sigmoid,tanh,1,200,59310508250.0
5.75,zeus,false,0.5,sigmoid,sigmoid,1,200,61014389029.0
